Date,RBRP11,VRTA11,HSML11
2020-12-17,93.08999633789062,109.70999908447266,93.80000305175781
2020-12-18,93.19999694824219,111.05000305175781,94.0
2020-12-21,92.73999786376953,111.98999786376953,93.69000244140625
2020-12-22,93.0,112.3499984741211,94.43000030517578
2020-12-23,93.95999908447266,112.80999755859375,94.80999755859375
2020-12-28,93.0,115.69999694824219,92.95999908447266
2020-12-29,93.4000015258789,116.87999725341797,93.18000030517578
2020-12-30,95.0,117.5,94.29000091552734
2021-01-04,94.83999633789062,116.19999694824219,94.31999969482422
2021-01-05,94.80000305175781,115.25,94.5
2021-01-06,94.51000213623047,115.16000366210938,94.7300033569336
2021-01-07,94.9000015258789,115.18000030517578,95.9000015258789
2021-01-08,93.1500015258789,115.70999908447266,95.9000015258789
2021-01-11,92.0999984741211,115.58000183105469,96.91999816894531
2021-01-12,91.9000015258789,115.51000213623047,95.94999694824219
2021-01-13,93.19000244140625,115.98999786376953,96.06999969482422
2021-01-14,94.69999694824219,115.05000305175781,95.9000015258789
2021-01-15,95.0,114.19000244140625,95.86000061035156
2021-01-18,95.29000091552734,114.19000244140625,96.69999694824219
2021-01-19,95.5999984741211,114.6500015258789,97.13999938964844
2021-01-20,95.94999694824219,115.0,97.95999908447266
2021-01-21,97.0,114.62000274658203,97.9000015258789
2021-01-22,97.0,114.0,97.0999984741211
2021-01-26,97.0,113.9800033569336,96.9800033569336
2021-01-27,97.0199966430664,114.0,96.80999755859375
2021-01-28,97.5999984741211,115.0,97.66999816894531
2021-01-29,97.69999694824219,115.83000183105469,97.80000305175781
2021-02-01,97.33000183105469,114.73999786376953,96.77999877929688
2021-02-02,98.0,114.88999938964844,96.0
2021-02-03,97.16000366210938,114.80000305175781,96.06999969482422
2021-02-04,97.01000213623047,115.19999694824219,95.88999938964844
2021-02-05,98.19000244140625,115.61000061035156,96.0199966430664
2021-02-08,97.83000183105469,115.52999877929688,96.30999755859375
2021-02-09,97.9000015258789,114.80000305175781,96.16000366210938
2021-02-10,97.4000015258789,114.80000305175781,95.5999984741211
2021-02-11,97.0999984741211,114.80000305175781,95.72000122070312
2021-02-12,96.97000122070312,114.9800033569336,96.2300033569336
2021-02-18,95.81999969482422,114.98999786376953,95.61000061035156
2021-02-19,96.0,114.25,95.1500015258789
2021-02-22,95.0,114.2300033569336,94.0
2021-02-23,95.27999877929688,116.0,93.8499984741211
2021-02-24,91.19999694824219,116.81999969482422,92.95999908447266
2021-02-25,92.0199966430664,116.80000305175781,92.68000030517578
2021-02-26,93.05000305175781,115.41000366210938,92.0199966430664
2021-03-01,92.30000305175781,114.75,90.19000244140625
2021-03-02,91.2300033569336,113.91000366210938,89.62000274658203
2021-03-03,91.30000305175781,113.0199966430664,89.37999725341797
2021-03-04,90.80000305175781,114.0,89.33000183105469
2021-03-05,91.19999694824219,114.80000305175781,90.08000183105469
2021-03-08,90.0999984741211,114.79000091552734,89.97000122070312
2021-03-09,89.51000213623047,114.91999816894531,89.94999694824219
2021-03-10,89.9000015258789,114.16999816894531,89.30000305175781
2021-03-11,91.0,114.0,88.8499984741211
2021-03-12,91.5,113.77999877929688,88.75
2021-03-15,89.54000091552734,114.20999908447266,88.29000091552734
2021-03-16,89.0999984741211,114.20999908447266,88.0
2021-03-17,89.08999633789062,113.0199966430664,86.0
2021-03-18,88.9000015258789,113.05000305175781,86.19000244140625
2021-03-19,91.05000305175781,114.19999694824219,86.44000244140625
2021-03-22,92.44000244140625,113.66999816894531,86.30000305175781
2021-03-23,90.88999938964844,113.9800033569336,86.06999969482422
2021-03-24,90.0,114.91999816894531,85.87999725341797
2021-03-25,90.69999694824219,114.91999816894531,85.66000366210938
2021-03-26,90.9000015258789,114.91999816894531,86.02999877929688
2021-03-29,91.98999786376953,115.0,86.16000366210938
2021-03-30,91.47000122070312,115.13999938964844,87.19999694824219
2021-03-31,91.95999908447266,115.0,87.80000305175781
2021-04-01,91.19999694824219,113.3499984741211,87.33999633789062
2021-04-05,92.23999786376953,114.06999969482422,87.54000091552734
2021-04-06,92.44999694824219,114.26000213623047,87.4000015258789
2021-04-07,91.97000122070312,113.98999786376953,87.48999786376953
2021-04-08,91.9000015258789,113.0199966430664,88.19999694824219
2021-04-09,90.0999984741211,114.4000015258789,88.08000183105469
2021-04-12,89.83999633789062,114.0999984741211,87.16999816894531
2021-04-13,88.5999984741211,114.12999725341797,87.0
2021-04-14,88.27999877929688,114.0999984741211,86.94000244140625
2021-04-15,88.08000183105469,114.19999694824219,86.95999908447266
2021-04-16,88.66999816894531,114.4000015258789,86.93000030517578
2021-04-19,88.43000030517578,114.5,87.0
2021-04-20,88.19999694824219,114.9000015258789,87.12999725341797
2021-04-22,88.25,115.0,87.18000030517578
2021-04-23,88.23999786376953,115.37000274658203,87.0999984741211
2021-04-26,87.52999877929688,115.0,87.86000061035156
2021-04-27,87.51000213623047,115.30999755859375,87.75
2021-04-28,87.0,114.5,87.8499984741211
2021-04-29,88.45999908447266,115.2699966430664,88.69000244140625
2021-04-30,88.3499984741211,115.69000244140625,89.8499984741211
2021-05-03,88.69999694824219,114.44000244140625,90.19999694824219
2021-05-04,89.05000305175781,113.11000061035156,90.48999786376953
2021-05-05,89.76000213623047,113.88999938964844,90.94999694824219
2021-05-06,90.0999984741211,113.5,91.1500015258789
2021-05-07,91.0,112.80000305175781,91.08999633789062
2021-05-10,89.5,113.33999633789062,90.69999694824219
2021-05-11,89.5,113.0,90.80999755859375
2021-05-12,90.30000305175781,112.69999694824219,90.30000305175781
