Date,IPCA2030,Selic2027
2021-10-13,4013.389,900.005
2021-10-15,4019.305,899.22
2021-10-18,4020.06,898.24
2021-10-19,3939.856,895.647
2021-10-20,3925.549,893.557
2021-10-21,3906.683,893.491
2021-10-22,3900.797,884.164
2021-10-25,3877.443,883.217
2021-10-26,3852.854,880.471
2021-10-27,3848.624,880.971
2021-10-28,3816.831,874.966
