Date,ITSA4,SULA11,SAPR11,ALUP11,NEOE3,PNVL3,BBSE3,CPLE6,RBRP11,VRTA11,HSML11,IPCA2030,Selic2027
2020-12-17,11.418540954589844,42.02987289428711,25.084680557250977,26.146728515625,16.58544158935547,20.72697639465332,29.04267883300781,5.778967380523682,93.08999633789062,109.70999908447266,93.8000030517578,4324.229,913.74
2020-12-18,11.31091022491455,41.55076217651367,25.553821563720703,25.82715606689453,16.918519973754883,20.796464920043945,28.40923118591309,5.777356624603272,93.1999969482422,111.0500030517578,94.0,4261.33,913.104
2020-12-21,11.13478946685791,41.06226348876953,25.70701026916504,25.66252899169922,16.59523582458496,20.5284423828125,27.804574966430664,5.765275478363037,92.73999786376952,111.98999786376952,93.69000244140624,4302.937,913.002
2020-12-22,11.154356956481934,40.291934967041016,25.6878604888916,25.391376495361328,16.62462615966797,20.4986629486084,27.9869327545166,5.825682640075684,93.0,112.3499984741211,94.43000030517578,4278.076,915.107
2020-12-23,11.418540954589844,40.47042846679688,26.51125144958496,25.57537269592285,16.830350875854492,21.044633865356445,27.95813751220703,6.001266479492188,93.95999908447266,112.80999755859376,94.80999755859376,4300.726,915.62
2020-12-28,11.545738220214844,40.63952255249024,26.83677864074707,25.720632553100582,17.08506202697754,21.20346069335937,28.53400039672852,6.141411304473877,93.0,115.6999969482422,92.95999908447266,4311.296,916.643
2020-12-29,11.61423110961914,42.07684326171875,26.55912208557129,25.79810333251953,17.104652404785156,21.640235900878903,28.850725173950195,6.108681678771973,93.4000015258789,116.87999725341795,93.18000030517578,4330.889,916.8
2020-12-30,11.477246284484863,41.42863845825195,25.055957794189453,25.99178504943848,17.261398315429688,21.640235900878903,28.438024520874023,6.2917070388793945,95.0,117.5,94.29000091552734,4321.75,917.309
2021-01-04,11.301125526428224,40.14162826538086,24.68348693847656,25.79810333251953,17.398548126220703,21.06449508666992,28.207677841186523,6.183403015136719,94.83999633789062,116.1999969482422,94.31999969482422,4364.397,919.026
2021-01-05,11.21306610107422,40.01010894775391,23.707853317260746,25.66252899169922,17.49651336669922,21.05451774597168,27.679805755615234,6.090211391448975,94.8000030517578,115.25,94.5,4300.965,919.706
2021-01-06,11.43810749053955,39.16462707519531,23.41516494750977,25.45916557312012,17.418140411376953,20.844968795776367,27.22871208190918,6.097767353057861,94.51000213623048,115.16000366210938,94.7300033569336,4320.65,915.501
2021-01-07,11.897982597351074,38.70972442626953,23.12247657775879,25.033071517944336,17.09049415588379,20.50570106506348,27.804574966430664,5.939089298248291,94.9000015258789,115.18000030517578,95.9000015258789,4245.531,914.969
2021-01-08,11.86862850189209,40.29394912719727,22.995643615722656,25.63347625732422,17.884017944335938,20.755163192749023,28.66836929321289,6.155697345733643,93.1500015258789,115.70999908447266,95.9000015258789,4233.638,912.716
2021-01-11,11.594661712646484,39.99219131469727,23.04442596435547,25.342958450317383,17.626123428344727,20.93477439880371,28.07331085205078,5.819031715393066,92.0999984741211,115.58000183105467,96.91999816894533,4178.951,911.058
2021-01-12,11.682721138000488,40.00162124633789,22.84929847717285,25.284854888916016,17.735231399536133,21.124366760253903,28.25566864013672,5.6309685707092285,91.9000015258789,115.51000213623048,95.9499969482422,4253.699,908.451
2021-01-13,11.565306663513184,40.218509674072266,22.937105178833008,25.87557601928711,18.211345672607425,21.1543025970459,28.39003562927246,5.490761280059815,93.19000244140624,115.98999786376952,96.06999969482422,4241.847,909.593
2021-01-14,11.819704055786133,40.39767837524414,23.259063720703125,26.24356842041016,18.429563522338867,21.91266250610352,28.77394294738769,5.629289627075195,94.6999969482422,115.0500030517578,95.9000015258789,4220.294,908.301
2021-01-15,11.359832763671877,39.765872955322266,23.239551544189453,26.698713302612305,18.647783279418945,22.710939407348636,28.169288635253903,5.541974067687988,95.0,114.19000244140624,95.86000061035156,4242.914,908.47
2021-01-18,11.379402160644531,39.35095977783203,23.12247657775879,26.37914276123047,18.320453643798828,22.94044303894043,27.881357192993164,5.479007720947266,95.29000091552734,114.19000244140624,96.6999969482422,4243.447,907.833
2021-01-19,11.203279495239258,38.756874084472656,22.820030212402344,26.040203094482425,18.171669006347656,22.45149803161621,27.67020606994629,5.456338882446289,95.5999984741211,114.6500015258789,97.13999938964844,4203.487,908.646
2021-01-20,11.027158737182615,38.56827545166016,22.185869216918945,25.68189811706543,17.96337127685547,22.21201705932617,27.497447967529297,5.468093395233154,95.9499969482422,115.0,97.95999908447266,4200.968,908.334
2021-01-21,10.802114486694336,38.22880172729492,21.580978393554688,25.246118545532227,17.764989852905273,21.962554931640625,27.631816864013672,5.564642906188965,97.0,114.62000274658205,97.9000015258789,4189.328,909.145
2021-01-22,10.645563125610352,37.7667350769043,21.13218688964844,24.64571189880371,17.477338790893555,21.5833740234375,27.276700973510746,5.483205318450928,97.0,114.0,97.0999984741211,4165.671,906.919
2021-01-26,10.411067008972168,37.8044548034668,21.063892364501957,24.21961784362793,17.209524154663086,21.902685165405277,27.305496215820312,5.344676494598389,97.0,113.9800033569336,96.9800033569336,4272.94,908.377
2021-01-27,10.34244441986084,38.02134323120117,21.473657608032227,24.92654609680176,17.23927879333496,21.29399871826172,26.873598098754883,5.448782444000244,97.0199966430664,114.0,96.80999755859376,4188.446,908.866
2021-01-28,10.75418186187744,38.681434631347656,21.502927780151367,25.17832946777344,18.052642822265625,21.45365524291992,27.094343185424805,5.554568290710449,97.5999984741211,115.0,97.66999816894533,4244.647,909.355
